Sat0_0:40:0:('1 Jun 2023 04:29:09.410', '1 Jun 2023 04:39:13.503')
Sat0_0:40:1:('1 Jun 2023 06:29:05.514', '1 Jun 2023 06:50:24.547')
Sat0_0:40:2:('1 Jun 2023 08:37:25.731', '1 Jun 2023 08:59:27.009')
Sat0_0:40:3:('1 Jun 2023 10:52:09.904', '1 Jun 2023 11:08:49.629')
Sat0_0:40:4:('1 Jun 2023 13:08:59.443', '1 Jun 2023 13:22:01.185')
Sat0_0:40:5:('1 Jun 2023 15:20:04.028', '1 Jun 2023 15:39:15.848')
Sat0_0:40:6:('1 Jun 2023 17:29:06.648', '1 Jun 2023 17:51:41.409')
Sat0_0:40:7:('1 Jun 2023 19:38:27.283', '1 Jun 2023 19:57:24.253')
Sat0_0:40:8:('2 Jun 2023 05:47:29.750', '2 Jun 2023 06:07:00.303')
Sat0_0:40:9:('2 Jun 2023 07:53:43.453', '2 Jun 2023 08:16:16.142')
Sat0_0:40:10:('2 Jun 2023 10:06:35.988', '2 Jun 2023 10:25:21.127')
Sat0_0:40:11:('2 Jun 2023 12:23:54.177', '2 Jun 2023 12:36:45.746')
Sat0_0:40:12:('2 Jun 2023 14:36:38.488', '2 Jun 2023 14:53:48.267')
Sat0_0:40:13:('2 Jun 2023 16:45:55.769', '2 Jun 2023 17:08:07.518')
Sat0_0:40:14:('2 Jun 2023 18:55:00.431', '2 Jun 2023 19:15:59.095')
Sat0_0:40:15:('2 Jun 2023 21:06:46.410', '2 Jun 2023 21:14:52.307')
Sat0_0:40:16:('3 Jun 2023 05:06:43.895', '3 Jun 2023 05:23:21.230')
Sat0_0:40:17:('3 Jun 2023 07:10:37.481', '3 Jun 2023 07:33:04.372')
Sat0_0:40:18:('3 Jun 2023 09:21:32.468', '3 Jun 2023 09:42:02.831')
Sat0_0:40:19:('3 Jun 2023 11:38:11.610', '3 Jun 2023 11:52:14.972')
Sat0_0:40:20:('3 Jun 2023 13:52:56.617', '3 Jun 2023 14:07:58.454')
Sat0_0:40:21:('3 Jun 2023 16:02:44.085', '3 Jun 2023 16:23:57.502')
Sat0_0:40:22:('3 Jun 2023 18:11:42.543', '3 Jun 2023 18:33:50.816')
Sat0_0:40:23:('3 Jun 2023 20:21:49.558', '3 Jun 2023 20:36:21.307')
Sat0_0:40:24:('4 Jun 2023 04:27:09.003', '4 Jun 2023 04:39:08.218')
Sat0_0:40:25:('4 Jun 2023 06:28:08.896', '4 Jun 2023 06:49:49.338')
Sat0_0:40:26:('4 Jun 2023 08:37:03.875', '4 Jun 2023 08:58:49.750')
Sat0_0:40:27:('4 Jun 2023 10:52:17.390', '4 Jun 2023 11:08:20.176')
Sat0_0:40:28:('4 Jun 2023 13:08:46.235', '4 Jun 2023 13:22:06.267')
Sat0_0:40:29:('4 Jun 2023 15:19:28.952', '4 Jun 2023 15:39:11.753')
Sat0_0:40:30:('4 Jun 2023 17:28:29.413', '4 Jun 2023 17:51:03.932')
Sat0_0:40:31:('4 Jun 2023 19:37:57.051', '4 Jun 2023 19:56:07.736')
Sat0_0:40:32:('5 Jun 2023 05:46:20.673', '5 Jun 2023 06:06:27.806')
Sat0_0:40:33:('5 Jun 2023 07:53:11.312', '5 Jun 2023 08:15:38.740')
Sat0_0:40:34:('5 Jun 2023 10:06:36.544', '5 Jun 2023 10:24:47.419')
Sat0_0:40:35:('5 Jun 2023 12:23:53.906', '5 Jun 2023 12:36:39.322')
Sat0_0:40:36:('5 Jun 2023 14:36:06.521', '5 Jun 2023 14:53:52.627')
Sat0_0:40:37:('5 Jun 2023 16:45:18.354', '5 Jun 2023 17:07:40.349')
