Sat0_0:159:0:('1 Jun 2023 00:21:04.847', '1 Jun 2023 00:42:20.665')
Sat0_0:159:1:('1 Jun 2023 02:28:06.988', '1 Jun 2023 02:49:22.806')
Sat0_0:159:2:('1 Jun 2023 04:35:09.130', '1 Jun 2023 04:56:24.947')
Sat0_0:159:3:('1 Jun 2023 06:42:11.271', '1 Jun 2023 07:03:27.089')
Sat0_0:159:4:('1 Jun 2023 08:49:13.412', '1 Jun 2023 09:10:29.230')
Sat0_0:159:5:('1 Jun 2023 10:56:15.553', '1 Jun 2023 11:17:31.371')
Sat0_0:159:6:('1 Jun 2023 13:03:17.695', '1 Jun 2023 13:24:33.512')
Sat0_0:159:7:('1 Jun 2023 15:10:19.836', '1 Jun 2023 15:31:35.653')
Sat0_0:159:8:('1 Jun 2023 17:17:21.977', '1 Jun 2023 17:38:37.795')
Sat0_0:159:9:('1 Jun 2023 19:24:24.118', '1 Jun 2023 19:45:39.936')
Sat0_0:159:10:('1 Jun 2023 21:31:26.260', '1 Jun 2023 21:52:42.077')
Sat0_0:159:11:('1 Jun 2023 23:38:28.401', '1 Jun 2023 23:59:44.218')
Sat0_0:159:12:('2 Jun 2023 01:45:30.542', '2 Jun 2023 02:06:46.360')
Sat0_0:159:13:('2 Jun 2023 03:52:32.683', '2 Jun 2023 04:13:48.501')
Sat0_0:159:14:('2 Jun 2023 05:59:34.825', '2 Jun 2023 06:20:50.642')
Sat0_0:159:15:('2 Jun 2023 08:06:36.966', '2 Jun 2023 08:27:52.783')
Sat0_0:159:16:('2 Jun 2023 10:13:39.107', '2 Jun 2023 10:34:54.924')
Sat0_0:159:17:('2 Jun 2023 12:20:41.248', '2 Jun 2023 12:41:57.066')
Sat0_0:159:18:('2 Jun 2023 14:27:43.389', '2 Jun 2023 14:48:59.207')
Sat0_0:159:19:('2 Jun 2023 16:34:45.531', '2 Jun 2023 16:56:01.348')
Sat0_0:159:20:('2 Jun 2023 18:41:47.672', '2 Jun 2023 19:03:03.489')
Sat0_0:159:21:('2 Jun 2023 20:48:49.813', '2 Jun 2023 21:10:05.630')
Sat0_0:159:22:('2 Jun 2023 22:55:51.954', '2 Jun 2023 23:17:07.772')
Sat0_0:159:23:('3 Jun 2023 01:02:54.096', '3 Jun 2023 01:24:09.913')
Sat0_0:159:24:('3 Jun 2023 03:09:56.237', '3 Jun 2023 03:31:12.054')
Sat0_0:159:25:('3 Jun 2023 05:16:58.378', '3 Jun 2023 05:38:14.195')
Sat0_0:159:26:('3 Jun 2023 07:24:00.519', '3 Jun 2023 07:45:16.337')
Sat0_0:159:27:('3 Jun 2023 09:31:02.660', '3 Jun 2023 09:52:18.478')
Sat0_0:159:28:('3 Jun 2023 11:38:04.802', '3 Jun 2023 11:59:20.619')
Sat0_0:159:29:('3 Jun 2023 13:45:06.943', '3 Jun 2023 14:06:22.760')
Sat0_0:159:30:('3 Jun 2023 15:52:09.084', '3 Jun 2023 16:13:24.901')
Sat0_0:159:31:('3 Jun 2023 17:59:11.225', '3 Jun 2023 18:20:27.043')
Sat0_0:159:32:('3 Jun 2023 20:06:13.367', '3 Jun 2023 20:27:29.184')
Sat0_0:159:33:('3 Jun 2023 22:13:15.508', '3 Jun 2023 22:34:31.325')
Sat0_0:159:34:('4 Jun 2023 00:20:17.649', '4 Jun 2023 00:41:33.466')
Sat0_0:159:35:('4 Jun 2023 02:27:19.790', '4 Jun 2023 02:48:35.607')
Sat0_0:159:36:('4 Jun 2023 04:34:21.931', '4 Jun 2023 04:55:37.749')
Sat0_0:159:37:('4 Jun 2023 06:41:24.073', '4 Jun 2023 07:02:39.890')
Sat0_0:159:38:('4 Jun 2023 08:48:26.214', '4 Jun 2023 09:09:42.031')
Sat0_0:159:39:('4 Jun 2023 10:55:28.355', '4 Jun 2023 11:16:44.172')
Sat0_0:159:40:('4 Jun 2023 13:02:30.496', '4 Jun 2023 13:23:46.313')
Sat0_0:159:41:('4 Jun 2023 15:09:32.637', '4 Jun 2023 15:30:48.454')
Sat0_0:159:42:('4 Jun 2023 17:16:34.779', '4 Jun 2023 17:37:50.596')
Sat0_0:159:43:('4 Jun 2023 19:23:36.920', '4 Jun 2023 19:44:52.737')
Sat0_0:159:44:('4 Jun 2023 21:30:39.061', '4 Jun 2023 21:51:54.878')
Sat0_0:159:45:('4 Jun 2023 23:37:41.202', '4 Jun 2023 23:58:57.019')
Sat0_0:159:46:('5 Jun 2023 01:44:43.343', '5 Jun 2023 02:05:59.160')
Sat0_0:159:47:('5 Jun 2023 03:51:45.485', '5 Jun 2023 04:13:01.302')
Sat0_0:159:48:('5 Jun 2023 05:58:47.626', '5 Jun 2023 06:20:03.443')
Sat0_0:159:49:('5 Jun 2023 08:05:49.767', '5 Jun 2023 08:27:05.584')
Sat0_0:159:50:('5 Jun 2023 10:12:51.908', '5 Jun 2023 10:34:07.725')
Sat0_0:159:51:('5 Jun 2023 12:19:54.049', '5 Jun 2023 12:41:09.866')
Sat0_0:159:52:('5 Jun 2023 14:26:56.191', '5 Jun 2023 14:48:12.008')
Sat0_0:159:53:('5 Jun 2023 16:33:58.332', '5 Jun 2023 16:55:14.149')
Sat0_0:159:54:('5 Jun 2023 18:41:00.473', '5 Jun 2023 19:02:16.290')
Sat0_0:159:55:('5 Jun 2023 20:48:02.614', '5 Jun 2023 21:09:18.431')
Sat0_0:159:56:('5 Jun 2023 22:55:04.755', '5 Jun 2023 23:16:20.572')
Sat0_0:159:57:('6 Jun 2023 01:02:06.897', '6 Jun 2023 01:23:22.714')
Sat0_0:159:58:('6 Jun 2023 03:09:09.038', '6 Jun 2023 03:30:24.855')
Sat0_0:159:59:('6 Jun 2023 05:16:11.179', '6 Jun 2023 05:37:26.996')
Sat0_0:159:60:('6 Jun 2023 07:23:13.320', '6 Jun 2023 07:44:29.137')
Sat0_0:159:61:('6 Jun 2023 09:30:15.461', '6 Jun 2023 09:51:31.278')
Sat0_0:159:62:('6 Jun 2023 11:37:17.603', '6 Jun 2023 11:58:33.420')
Sat0_0:159:63:('6 Jun 2023 13:44:19.744', '6 Jun 2023 14:05:35.561')
Sat0_0:159:64:('6 Jun 2023 15:51:21.885', '6 Jun 2023 16:12:37.702')
Sat0_0:159:65:('6 Jun 2023 17:58:24.026', '6 Jun 2023 18:19:39.843')
Sat0_0:159:66:('6 Jun 2023 20:05:26.167', '6 Jun 2023 20:26:41.984')
Sat0_0:159:67:('6 Jun 2023 22:12:28.309', '6 Jun 2023 22:33:44.126')
Sat0_0:159:68:('7 Jun 2023 00:19:30.450', '7 Jun 2023 00:40:46.267')
Sat0_0:159:69:('7 Jun 2023 02:26:32.591', '7 Jun 2023 02:47:48.408')
Sat0_0:159:70:('7 Jun 2023 04:33:34.732', '7 Jun 2023 04:54:50.549')
Sat0_0:159:71:('7 Jun 2023 06:40:36.873', '7 Jun 2023 07:01:52.690')
Sat0_0:159:72:('7 Jun 2023 08:47:39.014', '7 Jun 2023 09:08:54.832')
Sat0_0:159:73:('7 Jun 2023 10:54:41.156', '7 Jun 2023 11:15:56.973')
Sat0_0:159:74:('7 Jun 2023 13:01:43.297', '7 Jun 2023 13:22:59.114')
Sat0_0:159:75:('7 Jun 2023 15:08:45.438', '7 Jun 2023 15:30:01.255')
Sat0_0:159:76:('7 Jun 2023 17:15:47.579', '7 Jun 2023 17:37:03.396')
Sat0_0:159:77:('7 Jun 2023 19:22:49.720', '7 Jun 2023 19:44:05.538')
Sat0_0:159:78:('7 Jun 2023 21:29:51.862', '7 Jun 2023 21:51:07.679')
Sat0_0:159:79:('7 Jun 2023 23:36:54.003', '7 Jun 2023 23:58:09.820')
Sat0_0:159:80:('8 Jun 2023 01:43:56.144', '8 Jun 2023 02:05:11.961')
Sat0_0:159:81:('8 Jun 2023 03:50:58.285', '8 Jun 2023 04:12:14.103')
Sat0_0:159:82:('8 Jun 2023 05:58:00.427', '8 Jun 2023 06:19:16.244')
Sat0_0:159:83:('8 Jun 2023 08:05:02.568', '8 Jun 2023 08:26:18.385')
Sat0_0:159:84:('8 Jun 2023 10:12:04.709', '8 Jun 2023 10:33:20.526')
Sat0_0:159:85:('8 Jun 2023 12:19:06.850', '8 Jun 2023 12:40:22.668')
Sat0_0:159:86:('8 Jun 2023 14:26:08.991', '8 Jun 2023 14:47:24.809')
Sat0_0:159:87:('8 Jun 2023 16:33:11.133', '8 Jun 2023 16:54:26.950')
Sat0_0:159:88:('8 Jun 2023 18:40:13.274', '8 Jun 2023 19:01:29.091')
Sat0_0:159:89:('8 Jun 2023 20:47:15.415', '8 Jun 2023 21:08:31.232')
Sat0_0:159:90:('8 Jun 2023 22:54:17.556', '8 Jun 2023 23:15:33.374')
Sat0_0:159:91:('9 Jun 2023 01:01:19.697', '9 Jun 2023 01:22:35.515')
Sat0_0:159:92:('9 Jun 2023 03:08:21.839', '9 Jun 2023 03:29:37.656')
Sat0_0:159:93:('9 Jun 2023 05:15:23.980', '9 Jun 2023 05:36:39.797')
Sat0_0:159:94:('9 Jun 2023 07:22:26.121', '9 Jun 2023 07:43:41.939')
Sat0_0:159:95:('9 Jun 2023 09:29:28.262', '9 Jun 2023 09:50:44.080')
Sat0_0:159:96:('9 Jun 2023 11:36:30.404', '9 Jun 2023 11:57:46.221')
Sat0_0:159:97:('9 Jun 2023 13:43:32.545', '9 Jun 2023 14:04:48.362')
Sat0_0:159:98:('9 Jun 2023 15:50:34.686', '9 Jun 2023 16:11:50.504')
Sat0_0:159:99:('9 Jun 2023 17:57:36.827', '9 Jun 2023 18:18:52.645')
Sat0_0:159:100:('9 Jun 2023 20:04:38.969', '9 Jun 2023 20:25:54.786')
Sat0_0:159:101:('9 Jun 2023 22:11:41.110', '9 Jun 2023 22:32:56.927')
Sat0_0:159:102:('10 Jun 2023 00:18:43.251', '10 Jun 2023 00:39:59.069')
Sat0_0:159:103:('10 Jun 2023 02:25:45.392', '10 Jun 2023 02:47:01.210')
Sat0_0:159:104:('10 Jun 2023 04:32:47.533', '10 Jun 2023 04:54:03.351')
Sat0_0:159:105:('10 Jun 2023 06:39:49.675', '10 Jun 2023 07:01:05.492')
Sat0_0:159:106:('10 Jun 2023 08:46:51.816', '10 Jun 2023 09:08:07.634')
