Sat0_0's No.0 visiting period:  1157.0 s
Sat0_0's No.1 visiting period:  1440.0 s
Sat0_0's No.2 visiting period:  1188.0 s
Sat0_0's No.3 visiting period:  1045.0 s
Sat0_0's No.4 visiting period:  1430.0 s
Sat0_0's No.5 visiting period:  1276.0 s
Sat0_1's No.0 visiting period:  1066.0 s
Sat0_1's No.1 visiting period:  1435.0 s
Sat0_1's No.2 visiting period:  1253.0 s
Sat0_1's No.3 visiting period:  940.0 s
Sat0_1's No.4 visiting period:  1413.0 s
Sat0_1's No.5 visiting period:  1327.0 s
Sat0_2's No.0 visiting period:  955.0 s
Sat0_2's No.1 visiting period:  1423.0 s
Sat0_2's No.2 visiting period:  1305.0 s
Sat0_2's No.3 visiting period:  353.0 s
Sat0_2's No.4 visiting period:  813.0 s
Sat0_2's No.5 visiting period:  1390.0 s
Sat0_2's No.6 visiting period:  1366.0 s
Sat0_2's No.7 visiting period:  555.0 s
Sat0_3's No.0 visiting period:  812.0 s
Sat0_3's No.1 visiting period:  1403.0 s
Sat0_3's No.2 visiting period:  1349.0 s
Sat0_3's No.3 visiting period:  606.0 s
Sat0_3's No.4 visiting period:  652.0 s
Sat0_3's No.5 visiting period:  1358.0 s
Sat0_3's No.6 visiting period:  1397.0 s
Sat0_3's No.7 visiting period:  771.0 s
Sat0_4's No.0 visiting period:  617.0 s
Sat0_4's No.1 visiting period:  1375.0 s
Sat0_4's No.2 visiting period:  1383.0 s
Sat0_4's No.3 visiting period:  778.0 s
Sat0_4's No.4 visiting period:  428.0 s
Sat0_4's No.5 visiting period:  1317.0 s
Sat0_4's No.6 visiting period:  1419.0 s
Sat0_4's No.7 visiting period:  924.0 s
Sat0_5's No.0 visiting period:  270.0 s
Sat0_5's No.1 visiting period:  1337.0 s
Sat0_5's No.2 visiting period:  1409.0 s
Sat0_5's No.3 visiting period:  911.0 s
Sat0_5's No.4 visiting period:  1267.0 s
Sat0_5's No.5 visiting period:  1433.0 s
Sat0_5's No.6 visiting period:  1042.0 s
Sat0_6's No.0 visiting period:  1289.0 s
Sat0_6's No.1 visiting period:  1427.0 s
Sat0_6's No.2 visiting period:  1021.0 s
Sat0_6's No.3 visiting period:  1206.0 s
Sat0_6's No.4 visiting period:  1440.0 s
Sat0_6's No.5 visiting period:  1137.0 s
Sat0_7's No.0 visiting period:  1230.0 s
Sat0_7's No.1 visiting period:  1437.0 s
Sat0_7's No.2 visiting period:  1112.0 s
Sat0_7's No.3 visiting period:  1132.0 s
