Sat0_0:62:0:('1 Jun 2023 09:40:40.226', '1 Jun 2023 09:44:11.264')
Sat0_0:62:1:('1 Jun 2023 11:18:58.050', '1 Jun 2023 11:23:00.977')
Sat0_0:62:2:('1 Jun 2023 12:58:18.270', '1 Jun 2023 13:01:45.220')
Sat0_0:62:3:('1 Jun 2023 14:36:50.063', '1 Jun 2023 14:41:06.700')
Sat0_0:62:4:('1 Jun 2023 16:16:46.546', '1 Jun 2023 16:17:51.887')
Sat0_0:62:5:('2 Jun 2023 09:17:31.858', '2 Jun 2023 09:19:55.592')
Sat0_0:62:6:('2 Jun 2023 10:55:02.483', '2 Jun 2023 10:59:15.616')
Sat0_0:62:7:('2 Jun 2023 12:34:25.203', '2 Jun 2023 12:37:50.640')
Sat0_0:62:8:('2 Jun 2023 14:13:04.350', '2 Jun 2023 14:17:12.894')
Sat0_0:62:9:('2 Jun 2023 15:52:06.366', '2 Jun 2023 15:55:09.986')
Sat0_0:62:10:('3 Jun 2023 10:31:10.770', '3 Jun 2023 10:35:29.273')
Sat0_0:62:11:('3 Jun 2023 12:10:29.282', '3 Jun 2023 12:13:59.073')
Sat0_0:62:12:('3 Jun 2023 13:49:19.057', '3 Jun 2023 13:53:16.000')
Sat0_0:62:13:('3 Jun 2023 15:28:00.460', '3 Jun 2023 15:31:49.978')
Sat0_0:62:14:('4 Jun 2023 10:07:24.566', '4 Jun 2023 10:11:40.639')
Sat0_0:62:15:('4 Jun 2023 11:46:31.342', '4 Jun 2023 11:50:10.329')
Sat0_0:62:16:('4 Jun 2023 13:25:33.099', '4 Jun 2023 13:29:17.551')
Sat0_0:62:17:('4 Jun 2023 15:04:04.802', '4 Jun 2023 15:08:15.981')
Sat0_0:62:18:('5 Jun 2023 09:43:45.945', '5 Jun 2023 09:47:47.894')
Sat0_0:62:19:('5 Jun 2023 11:22:32.694', '5 Jun 2023 11:26:23.700')
Sat0_0:62:20:('5 Jun 2023 13:01:45.458', '5 Jun 2023 13:05:19.089')
Sat0_0:62:21:('5 Jun 2023 14:40:14.510', '5 Jun 2023 14:44:33.046')
Sat0_0:62:22:('6 Jun 2023 09:20:18.377', '6 Jun 2023 09:23:47.773')
Sat0_0:62:23:('6 Jun 2023 10:58:34.871', '6 Jun 2023 11:02:38.223')
Sat0_0:62:24:('6 Jun 2023 12:37:55.285', '6 Jun 2023 12:41:22.078')
Sat0_0:62:25:('6 Jun 2023 14:16:27.271', '6 Jun 2023 14:20:43.707')
Sat0_0:62:26:('6 Jun 2023 15:56:19.418', '6 Jun 2023 15:57:33.881')
Sat0_0:62:27:('7 Jun 2023 08:57:11.144', '7 Jun 2023 08:59:31.102')
Sat0_0:62:28:('7 Jun 2023 10:34:39.417', '7 Jun 2023 10:38:52.842')
Sat0_0:62:29:('7 Jun 2023 12:14:02.108', '7 Jun 2023 12:17:27.603')
Sat0_0:62:30:('7 Jun 2023 13:52:41.594', '7 Jun 2023 13:56:49.762')
Sat0_0:62:31:('7 Jun 2023 15:31:42.564', '7 Jun 2023 15:34:48.513')
Sat0_0:62:32:('8 Jun 2023 10:10:47.874', '8 Jun 2023 10:15:06.445')
Sat0_0:62:33:('8 Jun 2023 11:50:06.095', '8 Jun 2023 11:53:36.146')
Sat0_0:62:34:('8 Jun 2023 13:28:56.296', '8 Jun 2023 13:32:52.784')
