Sat0_0:62:0:('1 Jun 2023 15:58:41.175', '1 Jun 2023 16:01:48.585')
Sat0_0:62:1:('1 Jun 2023 17:36:38.788', '1 Jun 2023 17:40:49.701')
Sat0_0:62:2:('1 Jun 2023 19:15:52.568', '1 Jun 2023 19:19:32.505')
Sat0_0:62:3:('1 Jun 2023 20:54:27.938', '1 Jun 2023 20:58:45.740')
Sat0_0:62:4:('1 Jun 2023 22:34:25.797', '1 Jun 2023 22:35:28.038')
Sat0_0:62:5:('2 Jun 2023 15:35:51.030', '2 Jun 2023 15:37:16.406')
Sat0_0:62:6:('2 Jun 2023 17:12:45.967', '2 Jun 2023 17:17:03.377')
Sat0_0:62:7:('2 Jun 2023 18:51:59.557', '2 Jun 2023 18:55:39.253')
Sat0_0:62:8:('2 Jun 2023 20:30:41.530', '2 Jun 2023 20:34:53.268')
Sat0_0:62:9:('2 Jun 2023 22:09:45.383', '2 Jun 2023 22:12:46.505')
Sat0_0:62:10:('3 Jun 2023 16:48:57.354', '3 Jun 2023 16:53:15.726')
Sat0_0:62:11:('3 Jun 2023 18:28:04.364', '3 Jun 2023 18:31:48.469')
Sat0_0:62:12:('3 Jun 2023 20:06:55.422', '3 Jun 2023 20:10:57.972')
Sat0_0:62:13:('3 Jun 2023 21:45:39.442', '3 Jun 2023 21:49:26.736')
Sat0_0:62:14:('4 Jun 2023 16:25:14.734', '4 Jun 2023 16:29:25.293')
Sat0_0:62:15:('4 Jun 2023 18:04:07.816', '4 Jun 2023 18:07:59.939')
Sat0_0:62:16:('4 Jun 2023 19:43:08.604', '4 Jun 2023 19:47:01.323')
Sat0_0:62:17:('4 Jun 2023 21:21:43.574', '4 Jun 2023 21:25:53.238')
Sat0_0:62:18:('5 Jun 2023 16:01:40.578', '5 Jun 2023 16:05:29.859')
Sat0_0:62:19:('5 Jun 2023 17:40:11.129', '5 Jun 2023 17:44:13.043')
Sat0_0:62:20:('5 Jun 2023 19:19:20.205', '5 Jun 2023 19:23:04.731')
Sat0_0:62:21:('5 Jun 2023 20:57:52.902', '5 Jun 2023 21:02:11.074')
Sat0_0:62:22:('6 Jun 2023 15:38:19.646', '6 Jun 2023 15:41:24.837')
Sat0_0:62:23:('6 Jun 2023 17:16:15.703', '6 Jun 2023 17:20:26.918')
Sat0_0:62:24:('6 Jun 2023 18:55:29.575', '6 Jun 2023 18:59:09.420')
Sat0_0:62:25:('6 Jun 2023 20:34:05.123', '6 Jun 2023 20:38:22.791')
Sat0_0:62:26:('6 Jun 2023 22:13:58.566', '6 Jun 2023 22:15:10.140')
Sat0_0:62:27:('7 Jun 2023 15:15:32.204', '7 Jun 2023 15:16:50.093')
Sat0_0:62:28:('7 Jun 2023 16:52:23.008', '7 Jun 2023 16:56:40.567')
Sat0_0:62:29:('7 Jun 2023 18:31:36.476', '7 Jun 2023 18:35:16.254')
Sat0_0:62:30:('7 Jun 2023 20:10:18.746', '7 Jun 2023 20:14:30.189')
Sat0_0:62:31:('7 Jun 2023 21:49:21.585', '7 Jun 2023 21:52:25.037')
Sat0_0:62:32:('8 Jun 2023 16:28:34.579', '8 Jun 2023 16:32:52.842')
Sat0_0:62:33:('8 Jun 2023 18:07:41.217', '8 Jun 2023 18:11:25.559')
Sat0_0:62:34:('8 Jun 2023 19:46:32.629', '8 Jun 2023 19:50:34.818')
Sat0_0:62:35:('8 Jun 2023 21:25:16.172', '8 Jun 2023 21:29:04.604')
Sat0_0:62:36:('9 Jun 2023 16:04:52.216', '9 Jun 2023 16:09:02.274')
Sat0_0:62:37:('9 Jun 2023 17:43:44.641', '9 Jun 2023 17:47:37.101')
Sat0_0:62:38:('9 Jun 2023 19:22:45.768', '9 Jun 2023 19:26:38.148')
Sat0_0:62:39:('9 Jun 2023 21:01:20.550', '9 Jun 2023 21:05:30.728')
Sat0_0:62:40:('10 Jun 2023 15:41:18.434', '10 Jun 2023 15:45:06.598')
Sat0_0:62:41:('10 Jun 2023 17:19:47.975', '10 Jun 2023 17:23:50.250')
Sat0_0:62:42:('10 Jun 2023 18:58:57.298', '10 Jun 2023 19:02:41.582')
Sat0_0:62:43:('10 Jun 2023 20:37:30.016', '10 Jun 2023 20:41:48.306')
Sat0_0:62:44:('11 Jun 2023 15:17:58.154', '11 Jun 2023 15:21:01.061')
Sat0_0:62:45:('11 Jun 2023 16:55:52.622', '11 Jun 2023 17:00:04.135')
Sat0_0:62:46:('11 Jun 2023 18:35:06.580', '11 Jun 2023 18:38:46.337')
Sat0_0:62:47:('11 Jun 2023 20:13:42.312', '11 Jun 2023 20:17:59.836')
Sat0_0:62:48:('11 Jun 2023 21:53:31.916', '11 Jun 2023 21:54:51.655')
Sat0_0:62:49:('12 Jun 2023 14:55:13.837', '12 Jun 2023 14:56:23.329')
Sat0_0:62:50:('12 Jun 2023 16:32:00.056', '12 Jun 2023 16:36:17.756')
Sat0_0:62:51:('12 Jun 2023 18:11:13.394', '12 Jun 2023 18:14:53.260')
Sat0_0:62:52:('12 Jun 2023 19:49:55.964', '12 Jun 2023 19:54:07.107')
Sat0_0:62:53:('12 Jun 2023 21:28:57.813', '12 Jun 2023 21:32:03.537')
Sat0_0:62:54:('13 Jun 2023 16:08:11.813', '13 Jun 2023 16:12:29.956')
Sat0_0:62:55:('13 Jun 2023 17:47:18.070', '13 Jun 2023 17:51:02.650')
Sat0_0:62:56:('13 Jun 2023 19:26:09.837', '13 Jun 2023 19:30:11.664')
Sat0_0:62:57:('13 Jun 2023 21:04:52.913', '13 Jun 2023 21:08:42.456')
Sat0_0:62:58:('14 Jun 2023 15:44:29.711', '14 Jun 2023 15:48:39.250')
